"L50BA",53.430036404751,-2.9677825505972
"L50BB",53.42901746936,-2.9670519365609
"L50BD",53.428321227313,-2.9675479100388
"L50BL",53.428636819532,-2.9663207824906
"L50BN",53.427309839099,-2.9658842847752
"L50PA",53.430042665985,-2.9692277685822
"L50PJ",53.426332214541,-2.9689326410464
"L50PR",53.428632307891,-2.970204192583
"L50PS",53.428633581629,-2.9689398220168
"L50PZ",53.426944829015,-2.9665533400085
"L50QD",53.425203413579,-2.9662278655742
"L50QW",53.425590737583,-2.9672450856128
"L50QX",53.42938074775,-2.9677074459867
"L50RA",53.426615509554,-2.9705797146759
"L50RD",53.426621221699,-2.9676598219278
"L50RE",53.429499163794,-2.9741526842674
"L50RF",53.430043245545,-2.9735780630286
"L50RH",53.428722735213,-2.9745563986067
"L50RN",53.429204146469,-2.9739502549407
"L50RQ",53.429143710079,-2.9747466591199
"L50RR",53.428513928364,-2.9714959976396
"L50RS",53.430172718432,-2.9720305706908
"L50RT",53.429094072958,-2.9709071250464
"L50RW",53.428956400958,-2.9734629114764
"L50RX",53.429431269706,-2.9725555495831
"L50RZ",53.427762032736,-2.9666621913276
"L50SL",53.428438425381,-2.9741434827307
"L50SQ",53.423902888009,-2.9669659615156
"L50SU",53.427557502845,-2.9697131056355
"L50SX",53.42741007623,-2.9690474647231
"L50SY",53.424722375648,-2.9679026686006
"L50SZ",53.425764773443,-2.9679564502206
"L50TB",53.427516192196,-2.9736858891292
"L50TD",53.428163555599,-2.9725717676468
"L50TE",53.428506128793,-2.9735579896338
"L50TF",53.427064570014,-2.9739465011543
"L50TU",53.428064003678,-2.9660067471557
"L51AB",53.42811644512,-2.9606192539099
"L51AD",53.428080518198,-2.9617323044262
"L51TA",53.430232859017,-2.9657247609943
"L51TG",53.428095957354,-2.9653903322355
"L51TH",53.429889113426,-2.9659879195304
"L51TP",53.42772221889,-2.9649152503297
"L51TW",53.429423194601,-2.9646828273838
"L51TX",53.429902725604,-2.9654162210435
"L51UE",53.42819726099,-2.9650915833501
"L51UF",53.428326015008,-2.9647332456264
"L51UG",53.429496669719,-2.962261010759
"L51UH",53.429517919301,-2.9618550683899
"L51UL",53.428889223013,-2.9617806646968
"L51UR",53.428559684867,-2.9613969170151
"L51UW",53.428889223013,-2.9617806646968
"L51UY",53.429241397589,-2.9593500972466
"L51XG",53.428551928228,-2.9623600915601
"L51XH",53.427674122707,-2.9641916636155
"L51XJ",53.428337246419,-2.959992037443
"L51XL",53.427674122707,-2.9641916636155
"L51XN",53.427202843675,-2.9635488202748
"L51XP",53.427704221145,-2.9615732899856
"L51XQ",53.42919094746,-2.9656108277163
"L52AR",53.422142128156,-2.9865964778206
"L52AT",53.42244636104,-2.9867690737288
"L52BD",53.422423534489,-2.9873555031393
"L52BG",53.422144028136,-2.9874543778444
"L52BH",53.422008955669,-2.987481348097
"L52BJ",53.421819829317,-2.9875221155944
"L52PA",53.429635990729,-2.9783103688076
"L52PG",53.429439344274,-2.9792692241797
"L52PJ",53.427107903277,-2.9807358746271
"L52PL",53.427871068306,-2.9797600018778
"L52PT",53.428040610554,-2.9799144224982
"L52PX",53.424504735321,-2.9813532506678
"L52PY",53.427459520877,-2.9817072948333
"L52QA",53.427095330668,-2.9811720887919
"L52QB",53.425697328767,-2.9817268989705
"L52QD",53.425338811534,-2.9837806570288
"L52QE",53.425303577121,-2.9815071098713
"L52QH",53.426877667896,-2.9803091254806
"L52QN",53.42871321587,-2.9812093481687
"L52QQ",53.426868086145,-2.9792853849833
"L52QS",53.424634315665,-2.9830870976137
"L52QT",53.423458712326,-2.9828342172379
"L52QX",53.424338512605,-2.984073630925
"L52QY",53.423836410407,-2.9839115283814
"L52RA",53.424815737683,-2.9861616967908
"L52RB",53.424890364736,-2.9814674895398
"L52RE",53.423164086836,-2.9847689315014
"L52RF",53.424905448929,-2.9850951464069
"L52RR",53.424594013072,-2.9857953420048
"L52RU",53.423087394697,-2.9820731314174
"L52RW",53.423837176127,-2.9870872441767
"L52RY",53.42348261952,-2.986477007946
"L52RZ",53.422880859174,-2.9853192497104
"L52SA",53.423692082156,-2.9817860545774
"L52SE",53.423819852097,-2.9826468878407
"L52SF",53.42359960153,-2.9820999867016
"L52SH",53.428703642039,-2.9801855634553
"L52SJ",53.428727791389,-2.9794334979346
"L52SL",53.42862671696,-2.9786032931192
"L52SP",53.424560490621,-2.9844098784244
"L52SQ",53.429563843747,-2.977239969286
"L52SR",53.423590930688,-2.9853356685823
"L52SS",53.422880531456,-2.9864480194738
"L52ST",53.425424959478,-2.9820517512023
"L52SU",53.422438945212,-2.9854896342521
"L52SW",53.428040137144,-2.9788758112677
"L52SX",53.422621813656,-2.9851176064762
"L52SY",53.422693430559,-2.9873316560153
"L52SZ",53.427201268598,-2.9792177835401
"L53BA",53.422850541215,-2.9736695811644
"L53BB",53.422654423548,-2.9745681162836
"L53LA",53.416604623818,-2.9723079970068
"L53LB",53.416738295596,-2.9713479629651
"L53LD",53.417438168967,-2.9759235861869
"L53LF",53.419969296998,-2.9764179768775
"L53LL",53.417380290326,-2.9753052761698
"L53LQ",53.42181189326,-2.9764601949058
"L53LU",53.418087169238,-2.9757127169258
"L53LW",53.418177034373,-2.9713055088118
"L53NB",53.416644111122,-2.9751830937346
"L53ND",53.422951793878,-2.9755832923193
"L53NG",53.419634085609,-2.9734305546007
"L53NW",53.422691654308,-2.972206073533
"L53NZ",53.421571593381,-2.9728577656858
"L53PD",53.421138273245,-2.9719749892118
"L53PE",53.421028618501,-2.973296861255
